Fetching S&P 500 constituent list from Wikipedia...
Fetching market caps for 503 tickers (20 parallel workers)...
  100/503 tickers processed...
  200/503 tickers processed...
  300/503 tickers processed...
  400/503 tickers processed...
  500/503 tickers processed...
Universe cached to /home/runner/work/technical-analysis-stock-scanner/technical-analysis-stock-scanner/data/universe_top100.csv (100 stocks).
Downloading 1-year OHLCV for 102 tickers (universe + SPY + ^VIX)...

==================================================================
  MARKET BREADTH | MIXED (63L / 37S of 100) — selective longs, tighter stops
  REGIME GATE    | OPEN — LONG entries allowed
                 | SPY 718.48 vs 200DMA 668.42 | VIX 17.7 (limit 30)
  RS FILTER      | top 40% by 3M ∩ 6M return — 32 eligible of 100
==================================================================

── LONG UNIVERSE  (63 stocks — price > SMA200) ──
Ticker   Price   SMA50  SMA200  % vs SMA200  RSI Trend
  SNDK 1243.91  774.78  359.01        246.5 76.1     ↑
  INTC   98.75   56.70   40.54        143.6 85.6     ↑
   STX  736.89  466.39  308.00        139.2 84.6     ↑
   WDC  436.54  320.06  192.76        126.5 77.1     ↑
    MU  580.90  428.63  279.20        108.1 76.6     ↑
   VRT  324.46  277.41  192.90         68.2 62.8     ↑
   AMD  342.14  238.22  212.29         61.2 70.2     ↑
   GLW  159.21  149.29  100.51         58.4 51.3     ↑
   GEV 1076.52  927.76  710.54         51.5 61.5     ↑
   CAT  876.38  751.59  591.10         48.3 70.3     ↑
  DELL  208.80  171.21  141.27         47.8 63.8     ↑
  LRCX  256.93  237.33  174.73         47.0 54.3     ↑
   TXN  279.57  215.84  191.86         45.7 75.9     ↑
  AMAT  390.39  369.75  269.88         44.7 53.4     ↑
   ADI  394.42  343.80  280.66         40.5 65.4     ↑
 GOOGL  381.75  316.80  281.86         35.4 78.6     ↑
  KLAC 1700.38 1594.62 1262.45         34.7 48.9     ↑
  GOOG  378.60  315.45  282.00         34.3 78.1     ↑
  ANET  173.39  143.61  137.88         25.8 65.6     ↑
  CSCO   92.65   81.75   74.50         24.4 72.3     ↑
   COP  124.52  122.30  100.60         23.8 52.3     ↑
  AVGO  414.71  350.84  339.66         22.1 64.9     ↑
   XOM  153.26  154.94  126.97         20.7 50.3     ↑
  AMZN  273.63  226.07  227.63         20.2 80.5     ↓
    MO   74.06   66.53   61.71         20.0 74.4     ↑
   UNH  369.09  302.39  312.38         18.2 82.9     ↓
   ETN  426.68  379.86  361.56         18.0 65.3     ↑
  SBUX  105.40   97.00   89.45         17.8 68.0     ↑
     C  124.99  117.46  106.96         16.9 51.5     ↑
  WELL  217.54  206.30  186.56         16.6 63.2     ↑
   WMT  130.85  125.78  112.23         16.6 58.7     ↑
   NEE   96.23   92.82   82.60         16.5 57.6     ↑
   CVX  191.39  193.09  164.71         16.2 51.1     ↑
    MS  188.02  171.46  164.13         14.6 60.8     ↑
   MRK  113.34  117.09   98.93         14.6 46.1     ↑
   UNP  266.18  252.49  233.42         14.0 63.0     ↑
   PLD  139.70  136.52  123.89         12.8 52.1     ↑
    DE  575.37  587.71  513.84         12.0 48.1     ↑
   BMY   57.08   59.11   51.10         11.7 43.8     ↑
    VZ   47.49   48.40   42.62         11.4 51.0     ↑
    KO   78.44   76.98   71.27         10.1 59.0     ↑
   JNJ  224.82  238.13  205.11          9.6 36.1     ↑
    GS  903.69  869.72  826.55          9.3 50.8     ↑
  QCOM  169.82  137.09  155.45          9.2 73.0     ↓
    CB  327.28  328.64  299.73          9.2 49.7     ↑
  AAPL  276.83  261.46  255.24          8.5 61.8     ↑
   LIN  494.25  496.59  459.70          7.5 46.1     ↑
   APH  140.74  138.11  130.98          7.5 47.3     ↑
  COST 1016.87  996.12  948.09          7.3 58.3     ↑
  NVDA  195.77  187.27  183.96          6.4 50.3     ↑
    PM  170.87  166.97  161.76          5.6 58.6     ↑
   LLY  960.20  946.67  910.61          5.4 57.2     ↑
   PEP  155.78  157.52  148.05          5.2 49.2     ↑
